SP;Species;Morpho;Size;Reproduction
S1;Bacidia sp;Cr;Micro;Sexual
S2;Bunodophoron insigne;Fr;Macro;Sexual
S3;Catillaria cf. corymbosa;Cr;Micro;Sexual
S4;Chrysothrix pavonii;Cr;Micro;Mixed
S5;Cladonia chlorophaea;Dm;Macro;Mixed
S6;Cladonia sp;Dm;Macro;Mixed
S7;Cladonia squamosa;Dm;Macro;Mixed
S8;Coccotrema magellanicum;Cr;Micro;Mixed
S9;Graphis sp;Cr;Micro;Sexual
S10;Hypogymnia lugubris;Fr;Macro;Mixed
S11;Hypogymnia sp;Fo;Macro;Vegetative
S12;Hypotrachyna densirhizinata;Fo;Macro;Vegetative
S13;Hypotrachyna sp;Fo;Macro;Vegetative
S14;Lecanora cf. chlarotera;Cr;Micro;Mixed
S15;Lepolichen coccophorus;Fr;Macro;Sexual
S16;Lepraria membranacea;Cr;Micro;Vegetative
S17;Lepraria neglecta;Cr;Micro;Vegetative
S18;Lepraria sp;Cr;Micro;Vegetative
S19;Leptogium azureum;Fo;Macro;Sexual
S20;Menegazzia globulifera;Fo;Macro;Vegetative
S21;Menegazzia valdiviensis;Fo;Macro;Sexual
S22;Nephroma antarcticum;Fo;Macro;Sexual
S23;Nephroma australe;Fo;Macro;Sexual
S24;Nephroma cellulosum;Fo;Macro;Sexual
S25;Nephroma sp;Fo;Macro;Sexual
S26;Ochrolechia Frigida;Cr;Micro;Mixed
S27;Ochrolechia sp;Cr;Micro;Mixed
S28;Opegrapha sp;Cr;Micro;Sexual
S29;Pannaria byssoidea;Es;Macro;Sexual
S30;Pannaria contorta;Es;Macro;Sexual
S31;Pannaria isabellina;Es;Macro;Sexual
S32;Pannaria sp;Es;Macro;Mixed
S33;Pannaria sphinctrina;Es;Macro;Sexual
S34;Parmotrema crinitum;Fo;Macro;Vegetative
S35;Parmotrema reticulatum;Fo;Macro;Vegetative
S36;Parmotrema sp;Fo;Macro;Vegetative
S37;Pertusaria sp;Cr;Micro;Sexual
S38;Phaeographis patagonica;Cr;Micro;Sexual
S39;Physcia adscendens;Fo;Macro;Mixed
S40;Platismatia glauca;Fo;Macro;Vegetative
S41;Protousnea magellanica;Fr;Macro;Sexual
S42;Pseudocyphellaria argyracea;Fo;Macro;Vegetative
S43;Pseudocyphellaria aurata;Fo;Macro;Vegetative
S44;Pseudocyphellaria berberina;Fo;Macro;Mixed
S45;Pseudocyphellaria coerulescens;Fo;Macro;Sexual
S46;Pseudocyphellaria divulsa;Fo;Macro;Sexual
S47;Pseudocyphellaria endochrysa;Fo;Macro;Sexual
S48;Pseudocyphellaria exanthematica;Fo;Macro;Mixed
S49;Pseudocyphellaria faveolata;Fo;Macro;Sexual
S50;Pseudocyphellaria flavicans;Fo;Macro;Mixed
S51;Pseudocyphellaria freycinetti;Fo;Macro;Sexual
S52;Pseudocyphellaria imbricatula;Fo;Macro;Sexual
S53;Pseudocyphellaria malmeana;Fo;Macro;Sexual
S54;Pseudocyphellaria meyenii;Fo;Macro;Sexual
S55;Pseudocyphellaria sp;Fo;Macro;Sexual
S56;Pseudocyphellaria valdiviana;Fo;Macro;Mixed
S57;Pyrenula sp;Cr;Micro;Sexual
S58;Ramalina chilensis;Fr;Macro;Sexual
S59;Sphaerophorus sp;Fr;Macro;Vegetative
S60;Stereocaulon ramuliferum;Fr;Macro;Vegetative
S61;Sticta caulescens;Fo;Macro;Sexual
S62;Sticta fuliginosa;Fo;Macro;Mixed
S63;Sticta hypochra;Fo;Macro;Mixed
S64;Trapeliopsis sp;Cr;Micro;Vegetative
S65;Usnea sp;Fr;Macro;Vegetative
S66;Varicellaria velata;Cr;Micro;Sexual
S67;Xanthopsoroma contextum;Es;Macro;Sexual
S68;Xanthopsoroma soccatum;Es;Macro;Mixed
S69;Xanthoria parietina;Fo;Macro;Sexual
